Date,Open,High,Low,Close,Volume
8/2/2018 16:00:00,337.23,345,334.71,344.5,7131328
8/3/2018 16:00:00,347.75,347.86,338.48,343.09,8848367
8/6/2018 16:00:00,342.87,351.98,341.74,350.92,8198076
8/7/2018 16:00:00,353.23,357.31,349.01,351.83,7970930
8/8/2018 16:00:00,352.21,352.29,346.61,347.61,5402465
8/9/2018 16:00:00,347.96,352.44,345.82,349.36,4820313
8/10/2018 16:00:00,346.91,349.1,344.42,345.87,4337481
8/13/2018 16:00:00,339.89,347.19,339.07,341.31,6893649
8/14/2018 16:00:00,342.09,342.41,336.25,337.49,5805182
8/15/2018 16:00:00,334.03,335.5,321,326.4,11784485
8/16/2018 16:00:00,329.9,331.17,321.21,322.44,6689733
8/17/2018 16:00:00,319.01,324.37,312.96,316.78,10407908
8/20/2018 16:00:00,314.64,331.6,310.93,327.73,13591100
8/21/2018 16:00:00,331,341.5,329.7,338.02,14783246
8/22/2018 16:00:00,338.49,346.21,337.41,344.44,8930669
8/23/2018 16:00:00,348.11,350.08,337.65,339.17,11336425
8/24/2018 16:00:00,346,359.15,344.54,358.82,14729137
8/27/2018 16:00:00,367.15,374.49,360,364.58,17427304
8/28/2018 16:00:00,367.23,369.99,360.38,368.49,9222617
8/29/2018 16:00:00,367.2,369.86,362.91,368.04,8118734
8/30/2018 16:00:00,365,376.81,363.54,370.98,10981013
8/31/2018 16:00:00,370.66,376,367.08,367.68,7943443
9/4/2018 16:00:00,366.47,368.88,361.26,363.6,7605161
9/5/2018 16:00:00,360,363.39,335.83,341.18,13092847
9/6/2018 16:00:00,347.44,356,341.99,346.46,13050156
9/7/2018 16:00:00,342.2,355.75,341.25,348.68,9105817
9/10/2018 16:00:00,352.27,352.5,343.08,348.41,5752184
9/11/2018 16:00:00,344.67,356.15,343.9,355.93,6198063
9/12/2018 16:00:00,359.08,370.43,356.24,369.95,10480769
9/13/2018 16:00:00,371.91,374.09,366.84,368.15,8366122
9/14/2018 16:00:00,368.55,371.09,363.46,364.56,4756426
9/17/2018 16:00:00,364.22,367.33,349.57,350.35,7071945
9/18/2018 16:00:00,353.67,368.15,351.56,367.65,10413981
9/19/2018 16:00:00,373.95,377.61,359.17,366.96,11876841
9/20/2018 16:00:00,370.26,370.26,363.17,365.36,6768086
9/21/2018 16:00:00,366.59,372.22,360.74,361.19,11930568
9/24/2018 16:00:00,359,373.64,354.33,369.61,9322522
9/25/2018 16:00:00,370.23,371.34,364.49,369.43,6799816
9/26/2018 16:00:00,373.59,382,370.88,377.88,13799728
9/27/2018 16:00:00,379.87,383.2,376,380.71,7326246
9/28/2018 16:00:00,379.24,380.8,373.73,374.13,7114878
10/1/2018 16:00:00,375.85,386.11,375.59,381.43,8376560
10/2/2018 16:00:00,384.38,386.8,373.83,377.14,8638717
10/3/2018 16:00:00,378.53,380.93,374.88,377.05,5798605
10/4/2018 16:00:00,375.88,375.92,360.4,363.65,9074350
10/5/2018 16:00:00,359.77,363.5,343,351.35,13522957
10/8/2018 16:00:00,345.18,352.95,338.11,349.1,12375496
10/9/2018 16:00:00,348.48,358.72,347.09,355.71,8754990
10/10/2018 16:00:00,353.52,355.15,325.39,325.89,17183120
10/11/2018 16:00:00,324.94,334.2,315.81,321.1,16082056
10/12/2018 16:00:00,339.57,341.3,328.9,339.56,14870830
10/15/2018 16:00:00,337.63,339.21,326.93,333.13,11214956
10/16/2018 16:00:00,337.24,347.95,330.56,346.4,20156418
10/17/2018 16:00:00,378.33,380,356.5,364.7,32610947
10/18/2018 16:00:00,360.67,362.2,346.05,346.71,18461040
10/19/2018 16:00:00,351,355.8,332.2,332.67,16717233
10/22/2018 16:00:00,333.1,335.8,320.34,329.54,17097175
10/23/2018 16:00:00,318,336.58,316.77,333.16,14907326
10/24/2018 16:00:00,332.28,333,300.73,301.83,19039297
10/25/2018 16:00:00,307.12,319.94,305.25,312.87,13346921
10/26/2018 16:00:00,300.51,313.99,292.3,299.83,19616041
10/29/2018 16:00:00,305.26,307.89,275.4,284.84,21698841
10/30/2018 16:00:00,275.57,290.52,271.21,285.81,23685702
10/31/2018 16:00:00,297.77,311.5,295.05,301.78,20360342
11/1/2018 16:00:00,304.59,318.45,296.67,317.38,15121450
11/2/2018 16:00:00,318,321.88,308.33,309.1,13404646
11/5/2018 16:00:00,311.1,317.53,303.74,315.44,10283044
